MD-MVM Id,Survey station,Latitude,Longitude,County,Municipality,MS_CD C3,Sample date,Sample year,Sample month,Sample day,SeasonType,Season,Max sample depth (m),TOC (mg/l C),DOC (mg/l C),Abs_F 254 (/5cm),Turb_FNU (FNU),C_phyll (µg/l),pH,Cond_25 (mS/m),Alk/Acid (mekv/l),Ca (mekv/l),Mg (mekv/l),Na (mekv/l),K (mekv/l),SO4 (mekv/l),Cl (mekv/l),F (mekv/l),NH4-N (µg/l N),NO2+NO3-N (µg/l N),PO4-P (µg/l P),Tot-P (µg/l P),Si (mg/l),Fe (µg/l),Al (µg/l),Al_s (µg/l),Oxygen (mg/l O2),Secchi depth (m),Secchi depth binoculars (m),Secchi depth no binoculars (m),Water temp (°C),Tot-N (µg/l N),Abs_F 420 (/m),SUVA_254 (/m),TOC:TON (mol/l),TOC:TOP (mol/l)
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2008-05-06,2008,5,6,1,2,0.5,4.1,,,,0.7,6.39,2.84,0.089,0.124,0.052,0.059,0.01,0.097,0.029,0.0084,6.0,25.0,3.0,2.0,2.6,38.0,,,,8.0,,,9.5,169.0,0.66,,69.30965455578763,-42286.903671634325
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2008-08-16,2008,8,16,1,3,0.5,4.4,,,,1.0,6.87,2.91,0.094,0.133,0.058,0.066,0.011,0.098,0.033,0.0089,10.0,2.0,2.0,5.0,2.3,29.0,,,,7.1,,,17.2,222.0,0.4,,48.87900377035337,15127.022451641551
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2008-10-21,2008,10,21,1,4,0.5,3.8,,,,1.7,6.64,2.94,0.095,0.135,0.057,0.067,0.01,0.098,0.03,0.0084,7.0,2.0,2.0,4.0,2.06,53.0,,,,7.0,,,7.9,149.0,0.38,,63.32052761159414,19596.369994172008
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2009-03-12,2009,3,12,1,1,0.5,5.9,,,,0.5,6.64,3.59,0.106,0.154,0.059,0.082,0.012,0.116,0.039,0.0089,30.0,68.0,2.0,3.0,2.35,36.0,,,,6.8,,,0.5,301.0,0.5800000000000001,,67.80237983818611,60851.88577137625
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2009-05-13,2009,5,13,1,2,0.5,4.1,,,,1.0,6.69,2.9,0.091,0.13,0.057,0.062,0.01,0.101,0.03,0.0084,4.0,25.0,2.0,2.0,2.23,32.0,,,,7.4,,,11.1,169.0,0.52,,68.31951663356209,inf
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2009-08-18,2009,8,18,1,3,0.5,5.2,,,,2.1,6.67,2.65,0.085,0.129,0.054,0.062,0.009,0.09,0.029,0.0084,5.0,1.0,2.0,4.0,2.01,48.0,,,,5.0,,,17.0,200.0,1.0,,62.53030941568168,26816.08525518275
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2009-10-21,2009,10,21,1,4,0.5,4.4,,,,2.0,6.62,2.8,0.095,0.13,0.055,0.064,0.009,0.093,0.032,0.0084,10.0,13.0,2.0,4.0,2.38,47.0,,,,5.7,,,5.6,196.0,0.7000000000000001,,59.33289475013993,22690.53367746233
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2010-03-11,2010,3,11,1,1,0.5,5.7,,,0.98,0.3,6.42,3.46,0.101,0.146,0.065,0.084,0.014,0.103,0.047,0.0084,54.0,68.0,3.0,8.0,2.87,53.0,,,,6.5,,,0.5,532.0,0.8599999999999999,,32.43246536203602,11757.821996503204
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2010-05-26,2010,5,26,1,2,0.5,5.5,,,0.62,1.2,6.62,2.86,0.081,0.128,0.05,0.06,0.011,0.09,0.029,0.0079,7.0,39.0,2.0,5.0,2.55,50.0,,,,7.0,,,13.6,196.0,1.08,,85.5382565981184,18908.778064551934
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2010-08-10,2010,8,10,1,3,0.5,4.8,,,0.58,1.7,6.74,2.81,0.086,0.122,0.049,0.06,0.01,0.084,0.03,0.0084,8.0,1.0,3.0,5.0,2.44,35.0,,,,5.8,,,20.0,204.0,0.68,,57.42428414978577,24753.309466322535
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2010-10-19,2010,10,19,1,4,0.5,5.1,,,0.36,3.9,6.63,2.84,0.093,0.129,0.052,0.061,0.01,0.085,0.031,0.0089,11.0,80.0,4.0,4.0,2.54,43.0,,,,7.4,,,6.8,225.0,0.8200000000000001,,88.78801397226671,inf
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2011-02-21,2011,2,21,1,1,0.5,5.8,,,0.44,0.6,6.5,3.45,0.109,0.15,0.063,0.08,0.014,0.098,0.04,0.0095,37.0,62.0,3.0,5.0,3.05,26.0,,,,7.8,,,1.0,436.0,1.18,,40.15013932579606,29910.24893847306
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2011-05-19,2011,5,19,1,2,0.5,5.1,,,0.65,3.1,6.86,2.66,0.088,0.118,0.052,0.06,0.012,0.083,0.031,0.0084,3.0,80.0,3.0,4.0,2.63,35.0,,,,5.4,,,12.9,267.0,0.74,,64.66083626241164,52600.78261593539
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2011-08-11,2011,8,11,1,3,0.5,5.7,,,0.79,2.5,6.8,2.58,0.096,0.119,0.054,0.063,0.012,0.082,0.031,0.0084,10.0,1.0,2.0,4.0,1.78,38.0,,,,4.7,,,19.2,259.0,0.6,,53.618188703366,29394.554991258014
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2011-10-19,2011,10,19,1,4,0.5,5.4,,,0.65,0.9,6.67,3.06,0.106,0.137,0.06,0.067,0.013,0.08,0.032,0.0089,20.0,35.0,2.0,3.0,2.13,69.0,,,,,,,7.5,245.0,0.76,,66.30238071241713,55694.94629922571
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2012-02-21,2012,2,21,1,1,0.5,5.9,,,0.34,0.7,6.46,3.6,0.12,0.154,0.068,0.083,0.017,0.093,0.04,0.0089,56.0,110.0,1.0,5.0,2.75,53.0,,,,6.8,,,0.7,569.0,0.8799999999999999,,34.15355609715082,15212.971442844062
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2012-05-16,2012,5,16,1,2,0.5,4.4,,,0.39,1.2,6.68,2.79,0.104,0.134,0.059,0.066,0.013,0.08,0.03,0.0084,15.0,122.0,2.0,4.0,2.48,44.0,,,,7.7,,,8.7,308.0,0.7000000000000001,,60.02684673552168,22690.53367746233
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2012-08-27,2012,8,27,1,3,0.5,6.2,,,0.77,3.8,6.75,2.66,0.104,0.12,0.055,0.062,0.012,0.07,0.027,0.0084,15.0,15.0,1.0,5.0,1.65,53.0,,,,4.6,,,17.9,313.0,1.0,,51.10862745663354,15986.512363666638
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2012-10-23,2012,10,23,1,4,0.5,5.1,,,0.7,1.1,6.59,2.83,0.109,0.121,0.058,0.063,0.013,0.074,0.029,0.0079,25.0,80.0,2.0,4.0,2.22,72.0,,,,5.0,,,7.2,295.0,1.02,,62.61891511728284,26300.391307967697
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2013-02-25,2013,2,25,1,1,0.5,5.8,,0.832,0.41,1.2,6.58,3.23,0.116,0.137,0.058,0.077,0.016,0.088,0.037,0.0095,38.0,140.0,2.0,5.0,2.91,49.0,63.0,,,,,6.6,0.7,425.0,1.1,2.848281034482759,54.779744748150904,19940.16595898204
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2013-05-05,2013,5,5,1,2,0.5,4.8,,0.678,0.24,1.5,6.46,3.18,0.1,0.118,0.057,0.081,0.0139,0.078,0.052,0.0079,15.0,156.0,2.0,4.0,2.72,59.0,58.0,,,,,6.5,9.0,350.0,0.8999999999999999,2.786402083333334,62.5571810570292,24753.309466322535
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2013-08-10,2013,8,10,1,3,0.5,5.0,,0.534,0.76,2.8,7.19,2.77,0.112,0.103,0.049,0.059,0.0123,0.079,0.028,0.0084,1.5,0.5,2.0,3.0,1.66,14.0,26.0,,,,,6.4,20.4,212.0,0.52,2.157716,55.544322466310646,51569.39472150528
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2013-10-08,2013,10,8,1,4,0.5,4.9,,0.698,0.38,,6.68,2.77,0.117,0.119,0.056,0.063,0.0133,0.08,0.029,0.0084,9.0,26.0,1.0,3.0,1.78,15.0,27.0,,,,,7.8,10.0,237.0,1.04,2.8698061224489795,56.589215661221445,25269.003413537594
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2014-02-17,2014,2,17,1,1,0.5,4.4,,0.514,0.54,0.9,6.57,3.05,0.1,0.117,0.056,0.071,0.0131,0.081,0.037,0.0079,41.0,140.0,3.0,3.3,1.8,25.0,31.0,,,,,,1.8,356.0,0.54,2.344715909090909,58.654804524424044,151270.22451641562
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2014-04-20,2014,4,20,1,2,0.5,4.4,,0.542,0.56,1.6,6.58,2.76,0.103,0.125,0.059,0.066,0.0138,0.083,0.03,0.0084,7.0,116.0,1.0,3.6,2.3,37.0,49.0,,,,,7.7,7.0,305.0,0.62,2.4541795454545454,56.398850504253886,17454.25667497102
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2014-08-12,2014,8,12,1,3,0.5,5.2,,0.444,0.56,2.5,7.08,2.87,0.117,0.129,0.057,0.066,0.0142,0.084,0.03,0.0084,8.0,1.5,1.5,6.4,1.5,17.0,27.0,,,,,4.7,21.0,210.0,0.4,1.724805769230769,60.50314227751743,10945.340920482755
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2014-10-10,2014,10,10,1,4,0.5,4.3,,0.417,0.82,1.8,6.77,2.92,0.124,0.127,0.057,0.064,0.0141,0.082,0.03,0.0084,16.0,8.0,1.5,8.3,1.4,17.0,22.0,,,,,7.0,10.5,191.0,0.4,1.9602302325581398,60.06769243961498,6522.011685366844
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2015-02-22,2015,2,22,1,1,0.5,4.8,,0.601,0.35,0.25,6.51,3.18,0.113,0.132,0.062,0.071,0.0161,0.09,0.037,0.0084,49.0,104.0,1.5,3.8,2.1,37.0,48.0,,,,,6.3,1.5,332.0,0.7000000000000001,2.495497916666667,62.5571810570292,21524.616927236988
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2015-04-07,2015,4,7,1,2,0.5,4.4,,0.575,0.56,3.1,6.26,2.55,0.095,0.119,0.054,0.059,0.0138,0.073,0.029,0.0068,12.0,50.0,1.5,4.0,2.0,140.0,120.0,,,,,6.5,5.1,222.0,0.7000000000000001,2.4513181818181815,64.1536924485888,18152.42694196986
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2015-08-11,2015,8,11,1,3,0.5,4.8,,0.727,0.48,2.0,6.81,2.68,0.106,0.11,0.051,0.06,0.0127,0.079,0.03,0.0084,4.0,1.5,2.0,2.7,1.9,23.0,36.0,,,,,4.5,18.7,187.0,0.98,3.03954375,61.69551189646405,70723.74133235008
54,Spjutsjön,60.63879256520678,15.44527638804651,Dalarnas län,Falun,WA42559716,2015-10-14,2015,10,14,1,4,0.5,4.8,,0.564,0.55,1.7,6.68,2.86,0.112,0.121,0.056,0.063,0.0132,0.079,0.031,0.0079,14.0,18.0,2.0,3.9,2.0,30.0,41.0,,,,,7.2,9.8,245.0,0.62,2.3508541666666662,52.57152774276162,26056.115227707935
