,SUBID,AROID,Sj�-id,Medeldjup,Maxdjup,Omsättningstid,wrt
196,999,627914-147604,627766-147808,2.12,1.9,0.178,5.617977528089888
197,1007,627981-149570,627971-149852,11.1,,7.7,0.12987012987012986
198,1015,628056-137887,627944-137864,4.17,11.6,2.15,0.46511627906976744
199,1021,628123-140898,628106-140894,4.38,,0.126,7.936507936507937
200,1022,628129-140057,628323-139679,4.0,12.0,0.573,1.7452006980802794
201,1027,628159-149217,628111-149232,2.3,3.1,2.4,0.4166666666666667
202,1034,628236-144241,628222-144212,4.13,,0.0628,15.923566878980893
203,1040,628291-133253,628278-133187,3.92,,0.00875,114.28571428571428
204,1041,628301-148462,628196-148557,1.95,1.5,0.0129,77.51937984496124
205,1045,628346-133138,628265-133180,3.92,,0.0047,212.7659574468085
206,1052,628432-137440,628376-137474,2.37,9.5,0.00978,102.24948875255623
207,1058,628468-149688,628456-149694,3.09,2.7,0.11,9.090909090909092
208,1066,628533-139417,628219-139358,4.95,,0.0245,40.816326530612244
209,1067,628544-139603,628555-139577,4.14,,0.00823,121.50668286755773
210,1079,628634-146913,628617-146894,2.09,2.0,0.602,1.6611295681063123
211,1086,628702-133274,628606-133205,4.26,11.5,0.873,1.145475372279496
212,1097,628778-139212,628620-139129,4.17,,1.43,0.6993006993006994
213,1103,628810-133416,628699-133371,2.48,5.0,0.0704,14.204545454545453
214,1104,628811-134740,628880-134755,4.24,,1.59,0.6289308176100629
215,1106,628826-133616,628831-133505,7.68,20.0,0.736,1.358695652173913
216,1122,628948-134042,628913-133942,2.4,9.0,0.0261,38.314176245210724
217,1123,628972-133583,629017-133590,6.8,14.5,0.855,1.1695906432748537
218,1126,628980-146295,628932-146288,3.94,,0.00923,108.34236186348862
219,1134,629027-145978,629022-146127,4.91,18.0,2.63,0.3802281368821293
220,1135,629035-149263,628905-149308,4.81,,0.0206,48.543689320388346
221,1141,629089-147653,629026-147562,2.17,2.6,0.201,4.975124378109452
222,1142,629097-133638,629089-133568,4.38,13.0,0.00892,112.10762331838563
223,1144,629111-134528,629058-134396,0.994,1.6,0.00781,128.04097311139566
224,1154,629156-146854,629163-146824,4.92,14.5,1.4,0.7142857142857143
225,1155,629161-133791,629123-133697,10.7,26.0,0.0548,18.248175182481752
226,1157,629184-146252,629031-146234,3.92,,3.37,0.29673590504451036
227,1164,629321-144538,629110-144602,2.07,3.4,0.0468,21.367521367521366
228,1168,629344-140432,629320-140422,3.68,,0.0354,28.248587570621467
229,1182,629433-133899,629365-133851,4.63,12.0,0.00798,125.31328320802007
230,1189,629499-137554,629447-137590,6.89,22.5,0.0927,10.787486515641856
231,1195,629572-133990,629489-133906,9.92,20.0,0.0324,30.8641975308642
232,1202,629629-143420,629148-143516,2.91,9.2,1.71,0.5847953216374269
233,1211,629699-148016,629255-148080,7.04,,0.405,2.4691358024691357
234,1218,629780-144756,629771-144547,4.02,,0.221,4.524886877828054
235,1225,629835-135409,629887-135466,2.65,3.2,0.11,9.090909090909092
236,1229,629866-143064,630131-143028,2.88,,1.73,0.5780346820809249
237,1232,629907-144065,629719-144241,3.77,,0.945,1.0582010582010584
238,1249,630062-135869,630037-135928,3.09,12.5,1.71,0.5847953216374269
239,1252,630068-142833,630194-142697,4.88,,0.0165,60.6060606060606
240,1255,630094-145120,630037-144977,4.07,8.7,0.307,3.257328990228013
241,1259,630119-140010,630069-140009,4.29,8.0,0.18,5.555555555555555
242,1266,630172-142445,629786-142525,2.74,5.6,0.0856,11.682242990654206
243,1271,630202-149440,630181-149494,3.09,6.3,0.129,7.751937984496124
244,1273,630211-140623,630195-140578,4.58,12.0,1.43,0.6993006993006994
245,1280,630276-143765,630406-143665,2.87,7.4,0.941,1.0626992561105209
246,1282,630295-143451,630500-143298,3.6,,0.00958,104.38413361169103
247,1286,630306-133929,630320-134146,2.57,8.5,0.0397,25.188916876574307
248,1315,630489-143613,630480-143556,3.28,5.5,0.478,2.092050209205021
249,1317,630494-134735,630514-134708,3.57,,0.00979,102.14504596527068
250,1322,630558-147669,630507-147694,1.97,4.6,0.572,1.7482517482517483
251,1325,630604-133022,630511-132940,6.85,,0.00183,546.448087431694
252,1332,630641-134753,630597-134761,3.26,,0.0207,48.309178743961354
253,1333,630642-147883,630619-147878,3.8,,5.53,0.18083182640144665
254,1343,630689-135671,630732-135868,3.14,7.6,0.613,1.6313213703099512
255,1345,630690-143914,630429-143935,4.22,7.8,0.452,2.2123893805309733
256,1346,630697-150290,630746-150410,2.48,4.0,0.601,1.663893510815308
257,1349,630736-134796,630706-134806,2.95,,0.0031,322.5806451612903
258,1351,630743-140657,630679-140539,3.23,9.2,2.38,0.42016806722689076
259,1353,630748-134906,630721-134836,3.25,,0.1,10.0
260,1357,630769-135097,630824-135051,2.75,,0.0381,26.246719160104984
261,1358,630787-137747,630765-137621,1.17,2.1,0.311,3.215434083601286
262,1364,630828-131532,630880-131505,3.47,,0.234,4.273504273504273
263,1365,630837-135589,630835-135633,3.76,14.0,1.23,0.8130081300813008
264,1367,630841-144909,630789-144980,3.37,9.7,2.18,0.4587155963302752
265,1374,630886-135255,630879-135187,3.02,,0.116,8.620689655172413
266,1382,630923-134418,631042-134482,3.54,14.0,1.36,0.7352941176470588
267,1383,630923-136246,630956-136285,7.59,25.0,1.24,0.8064516129032259
268,1384,630925-149969,630951-150007,3.24,,0.268,3.731343283582089
269,1391,630974-135424,630901-135298,2.98,,0.419,2.3866348448687353
270,1398,631032-142742,630806-142789,3.12,9.4,2.16,0.4629629629629629
271,1401,631055-147115,630747-147145,2.76,4.0,0.804,1.243781094527363
272,1402,631060-147800,631249-147673,2.83,11.6,1.43,0.6993006993006994
273,1403,631081-144773,631051-144611,2.45,7.0,0.739,1.3531799729364005
274,1406,631108-135109,631309-134951,7.22,16.3,1.06,0.9433962264150942
275,1410,631139-134671,631187-134772,2.98,8.8,1.06,0.9433962264150942
276,1419,631229-150322,631222-150636,5.22,11.5,0.0975,10.256410256410255
277,1421,631238-143277,631505-143363,3.73,,1.07,0.9345794392523364
278,1431,631329-146822,631360-146750,3.64,,1.79,0.5586592178770949
279,1432,631356-142523,631325-142519,2.83,4.3,0.0507,19.72386587771203
280,1438,631393-137256,629511-136866,6.68,36.0,1.65,0.6060606060606061
281,1439,631399-134902,631503-134957,3.85,7.0,0.12,8.333333333333334
282,1440,631405-149893,631317-150207,6.62,,0.0676,14.792899408284025
283,1449,631501-140325,631487-140319,1.44,1.5,0.0929,10.764262648008613
284,1454,631547-146081,631522-146051,6.57,,0.992,1.0080645161290323
285,1456,631568-139387,631542-139354,7.46,15.4,0.561,1.7825311942959
286,1457,631570-138831,631512-138912,6.55,,0.0144,69.44444444444444
287,1460,631589-135407,631509-135258,4.15,,0.334,2.994011976047904
288,1468,631688-143776,630764-143570,6.99,25.0,1.04,0.9615384615384615
289,1471,631717-138308,631687-138293,2.81,,0.929,1.0764262648008611
290,1474,631748-151385,631706-151419,4.54,15.2,0.217,4.6082949308755765
291,1480,631786-145302,631690-145084,3.07,7.0,0.812,1.231527093596059
292,1481,631787-139011,631809-138969,2.75,,2.26,0.4424778761061947
293,1483,631793-134985,632043-134980,5.27,10.0,0.252,3.9682539682539684
294,1485,631804-142906,631615-142651,4.4,,0.942,1.0615711252653928
295,1488,631816-136557,631769-136737,6.1,23.5,1.13,0.8849557522123894
296,1496,631876-131555,631886-131576,5.02,19.5,1.26,0.7936507936507936
297,1504,631942-152248,631988-152512,2.83,,0.00204,490.19607843137254
298,1509,631982-144408,631978-144393,7.0,19.0,4.26,0.2347417840375587
299,1510,631992-147338,631903-147605,10.4,24.0,0.836,1.1961722488038278
300,1513,632013-131346,632023-131345,5.37,19.7,1.08,0.9259259259259258
301,1520,632081-135482,631932-135275,4.29,,0.073,13.698630136986303
302,1522,632100-131740,632085-131735,4.51,10.6,0.466,2.1459227467811157
303,1528,632158-134137,632025-133985,3.74,,1.99,0.5025125628140703
304,1531,632166-131378,632176-131370,2.89,10.7,0.849,1.1778563015312131
305,1536,632212-134622,632231-134552,5.14,,0.00087,1149.4252873563219
306,1541,632243-152083,632123-152153,6.76,,0.0376,26.595744680851062
307,1557,632347-144466,632490-144339,3.03,3.7,0.0493,20.28397565922921
308,1560,632362-151844,632361-151857,3.15,3.5,0.0411,24.330900243309003
309,1564,632388-150285,632455-150468,5.96,,3.51,0.2849002849002849
310,1569,632406-150939,632510-151014,3.66,7.6,0.0271,36.90036900369004
311,1570,632415-144091,632538-144149,3.66,,4.65,0.2150537634408602
312,1576,632475-132938,632465-132994,1.98,4.0,0.231,4.329004329004329
313,1579,632504-146668,632515-146675,3.7,6.5,2.13,0.4694835680751174
314,1581,632507-147123,632371-147279,2.15,5.9,0.607,1.6474464579901154
315,1592,632603-134740,632658-134675,5.01,18.1,1.5,0.6666666666666666
316,1596,632615-149529,632521-149690,2.58,7.0,0.331,3.021148036253776
317,1601,632621-150428,632641-150603,1.8,2.8,1.68,0.5952380952380952
318,1609,632667-131258,632748-130965,9.56,,0.0141,70.92198581560284
319,1611,632673-143845,632319-143784,2.49,5.7,0.0432,23.148148148148145
320,1614,632681-134452,632525-134351,2.57,7.8,0.188,5.319148936170213
321,1617,632689-134647,632636-134619,3.29,9.2,0.212,4.716981132075472
322,1623,632750-140050,632814-140041,7.99,14.4,0.207,4.830917874396135
323,1624,632758-140978,632869-140866,3.88,,0.0167,59.880239520958085
324,1626,632759-144795,632767-144756,3.4,,0.0224,44.642857142857146
325,1628,632764-142540,632688-142513,4.9,12.2,1.13,0.8849557522123894
326,1635,632822-148263,632741-148388,1.35,2.4,0.944,1.0593220338983051
327,1638,632838-151162,632937-151463,3.45,5.0,0.195,5.128205128205128
328,1642,632847-136635,632797-136512,2.79,8.3,1.34,0.7462686567164178
329,1655,632907-142261,633025-142267,4.4,10.0,3.9,0.25641025641025644
330,1656,632912-132786,633080-132874,3.07,4.6,0.238,4.201680672268908
331,1661,632947-143550,632683-143660,4.02,6.0,0.825,1.2121212121212122
332,1669,632999-135848,632979-135766,2.83,8.5,0.993,1.0070493454179255
333,1670,633011-140773,633118-140608,5.45,,0.055,18.181818181818183
334,1672,633027-130268,633104-130125,6.78,14.0,0.299,3.3444816053511706
335,1678,633055-141096,633038-141057,4.31,11.3,0.15,6.666666666666667
336,1682,633072-141382,633084-141388,2.9,6.8,0.0252,39.682539682539684
337,1685,633083-129991,633167-129910,2.31,2.5,0.0596,16.778523489932887
338,1695,633161-149012,633118-149056,6.48,18.0,0.208,4.8076923076923075
339,1699,633193-151354,633034-151273,10.9,25.5,1.4,0.7142857142857143
340,1700,633202-130410,633163-130461,6.52,17.4,2.63,0.3802281368821293
